Card.Res.Gene.Annotations	Universal.Gene.Name	Gene.AMR.Family	Gene.Further.Classification	Gene.Mechanism	mechanism	classification
mexQ	mexQ	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
mexV	mexV	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
mexX	mexX	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
mfpA	mfpA	quinolone resistance protein (qnr)	qnr	antibiotic target protection	antibiotic target protection	quinolone resistance protein (qnr)
MIR-9	MIR-9	MIR beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	MIR beta-lactamase
mph(A)_2_U36578	mphA	macrolide phosphotransferase (MPH)	MPH	antibiotic inactivation	Enzymatic inactivation 	"Macrolide phosphotransferase; Alternative name mph(K)"
mph(C)_2_AF167161	mphC	macrolide phosphotransferase (MPH)	MPH	antibiotic inactivation	Enzymatic inactivation 	"Macrolide phosphotransferase; Alternative name mph(BM); Not functional in S. aureus"
msrF	msrF	ABC-F ATP-binding cassette ribosomal protection protein	ABC-F ATPase ribosomal protection protein	antibiotic target protection	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
mtrA	mtrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
MUS-2 beta-lactamase	MUS-2	MUS beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	MUS beta-lactamase
MuxB	MuxB	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
NDM-1	NDM-1	NDM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NDM beta-lactamase
NDM-23	NDM-23	NDM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NDM beta-lactamase
NDM-24	NDM-24	NDM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NDM beta-lactamase
NDM-5	NDM-5	NDM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NDM beta-lactamase
NDM-6	NDM-6	NDM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NDM beta-lactamase
NDM-9	NDM-9	NDM beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NDM beta-lactamase
nimE_1_AJ244018	nimE	Nitroimidazole resistance protein	Nitroimidazole resistance protein	nan	nan	likely also resistance to tinidazole, nimorazole, dimetridazole, 6-Amino PA824, ornidazole, megazol, azanidazole
nimH_1_KX576455	nimH	Nitroimidazole resistance protein	Nitroimidazole resistance protein	nan	nan	Manually predicted - likely also resistance to tinidazole, nimorazole, dimetridazole, 6-Amino PA824, ornidazole, megazol, azanidazole
NmcR	NmcR	NmcA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	NmcA beta-lactamase
norB	norB	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
OpmH	OpmH	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
OprJ	OprJ	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
OXA-157	OXA-157	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-178	OXA-178	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-198	OXA-198	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-2	OXA-2	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-205	OXA-205	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
OXA-209	OXA-209	OXA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	OXA beta-lactamase
